state,GEOID,wi_bg
55,550939605002,1
55,550939605004,1
55,550939605003,1
55,550939606002,1
55,550939605002,1
55,550939605004,1
55,550939605003,1
55,550939605002,1
55,550939605004,1
55,550939605003,1
55,551091209033,1
55,551091204001,1
55,550959608003,1
55,551091204002,1
55,551091204003,1
55,551091209031,1
55,551091203002,1
55,551091202011,1
55,551091202012,1
55,551091209033,1
55,551091203004,1
55,551091204004,1
55,551091203003,1
55,551091201001,1
55,551091201002,1
55,550939605002,1
55,550939605004,1
55,550939605003,1
55,550939605001,1
55,550939605002,1
55,551091209033,1
55,551091204001,1
55,550939605001,1
55,550939605002,1
55,550939605001,1
55,550939605002,1
